trajectory_id,instance_id,repo,total_tokens,assistant_turns,total_tool_calls,exit_status,ends_with_submit,is_error_or_timeout,resolved,has_patch,patch_length,avg_observation_length,num_observations,unique_action_ratio,test_alignment_score,redundant_cmds_ratio,error_retry_count,total_action_pairs,obs_noise_char_ratio,obs_utilization_ratio,truncation_ratio,outcome_success,step_efficiency,observation_noise,action_diversity,composite_Q
chatcmpl-c27b4dc58a2bdd1a9777ce4c40731fc5,Azure__msrest-for-python-189,Azure/msrest-for-python,48778,53,53,submit,True,False,1,True,21732,3793.735849056604,53,0.9056603773584906,1.0,0.018867924528301886,12,52,0.03625141743091889,0.27906976744186046,1.0,1.0,0.7547169811320754,0.6206264150943397,0.6545941000293709,0.8594967684935031
chatcmpl-94ce3b15f789722c5e924576a23b07cf,openmrslab__suspect-46,openmrslab/suspect,63507,63,63,submit,True,False,0,True,11633,3076.0476190476193,63,0.9682539682539683,1.0,0.015873015873015872,8,62,0.057469129113323116,0.29411764705882354,1.0,0.5,0.7936507936507936,0.6923952380952381,0.6826983157249854,0.7558592760169429
chatcmpl-5b398c25e9131ec9a8a614b907f1fd8a,UC-Davis-molecular-computing__scadnano-python-package-288,UC-Davis-molecular-computing/scadnano-python-package,52150,84,84,submit,True,False,1,True,22368,2122.6071428571427,84,0.9285714285714286,1.0,0.011904761904761904,14,83,0.02597883330809483,0.5737704918032787,1.0,1.0,0.47619047619047616,0.7877392857142858,0.6333896267040672,0.8267379507656448
chatcmpl-2a95bc9b8ada251ac9f1b3d4888dd793,frictionlessdata__frictionless-py-1047,frictionlessdata/frictionless-py,47435,70,70,submit,True,False,0,True,1164,2570.6428571428573,70,0.9142857142857143,1.0,0.04285714285714286,15,69,0.012903942871432938,0.24074074074074073,1.0,0.5,0.5714285714285714,0.7429357142857143,0.6251778970933844,0.7132438611379098
chatcmpl-02bc0acb947a17a69fc35cbbc07c8186,Duke-GCB__lando-20,Duke-GCB/lando,47470,52,52,submit,True,False,0,True,1206,3507.3846153846152,52,0.9038461538461539,1.0,0.038461538461538464,9,51,0.10128081410650057,0.26277372262773724,1.0,0.5,0.7692307692307693,0.6492615384615386,0.5900405318978382,0.7352394378051684
chatcmpl-88eeeae68155b3946e1fc88184fad4b5,arrow-py__arrow-906,arrow-py/arrow,35094,49,49,submit,True,False,1,True,9047,2076.6938775510203,49,0.9387755102040817,1.0,0.02040816326530612,8,48,0.043878613966469464,0.37404580152671757,1.0,1.0,0.8163265306122448,0.792330612244898,0.6960864720423459,0.9017235451634182
chatcmpl-29f0683c499a10b8ef878284224dc1fd,ej2__python-quickbooks-322,ej2/python-quickbooks,57113,65,65,submit,True,False,1,True,8282,3547.2,65,0.9230769230769231,1.0,0.03076923076923077,19,64,0.026885777731515216,0.33796296296296297,1.0,1.0,0.6153846153846154,0.6452800000000001,0.6609628209690213,0.8359652051738252
chatcmpl-261ba22752dff20a4bc3743f9161c170,pyvista__pyvista-5767,pyvista/pyvista,47260,68,68,submit,True,False,0,True,753,1590.514705882353,68,0.8088235294117647,1.0,0.10294117647058823,8,67,0.028810503444131108,0.25146198830409355,1.0,0.5,0.5882352941176471,0.8409485294117647,0.618707831880538,0.7306601214233479
chatcmpl-72fe86f140ec685c62712d51990320a4,yt-dlp__yt-dlp-12718,yt-dlp/yt-dlp,72423,82,82,submit,True,False,0,True,21809,1832.9634146341464,82,0.9390243902439024,1.0,0.06097560975609756,9,81,0.0038854846543315835,0.06684491978609626,1.0,0.5,0.4878048780487805,0.8167036585365853,0.6071912656437071,0.7057856509546147
chatcmpl-07e2c37a0a7df26bbd32869aa7708086,mikedh__trimesh-1287,mikedh/trimesh,58645,64,64,submit,True,False,0,True,2956,2911.5625,64,0.953125,1.0,0.0,4,63,0.08573038531716218,0.2471264367816092,1.0,0.5,0.625,0.70884375,0.6533109543780827,0.7216576579378083
chatcmpl-4676d0e4106c24a55f8809dbd6157c53,j-towns__craystack-16,j-towns/craystack,67032,94,94,submit,True,False,1,True,32944,2232.2021276595747,94,0.7340425531914894,1.0,0.11702127659574468,9,93,0.06019721008259185,0.5652173913043478,1.0,1.0,0.425531914893617,0.7767797872340425,0.6600623890594625,0.8176295899697761
chatcmpl-ae4973ca9ed6de8a82df474b2a0e1676,Shopify__shopify_python_api-457,Shopify/shopify_python_api,25498,52,52,submit,True,False,1,True,856,1533.7884615384614,52,0.9615384615384616,1.0,0.038461538461538464,7,51,0.019822711486139146,0.16972477064220184,1.0,1.0,0.9615384615384616,0.8466211538461539,0.6488460413337098,0.9341854695179863
chatcmpl-022cb9484d43246e225d3312148d5056,jabesq__netatmo-api-python-67,jabesq/netatmo-api-python,49796,61,61,submit,True,False,0,True,5297,3698.1639344262294,61,0.9344262295081968,1.0,0.0,24,60,0.07085483270386722,0.38181818181818183,1.0,0.5,0.6557377049180328,0.630183606557377,0.691449402060755,0.7198200221732887
chatcmpl-08a218aa4fd307cec7381c47bf624d3f,whatshap__whatshap-412,whatshap/whatshap,62369,67,67,submit,True,False,1,True,3342,2145.5671641791046,67,0.835820895522388,1.0,0.08955223880597014,5,66,0.01185366566262965,0.17050691244239632,1.0,1.0,0.5970149253731343,0.7854432835820895,0.6797128430085237,0.8551907619127928
chatcmpl-d6f47ed0a8d3cc9f54c7e1a3cda9b665,neo4j__neo4j-python-driver-510,neo4j/neo4j-python-driver,37127,53,53,submit,True,False,0,True,1327,2968.830188679245,53,0.9433962264150944,1.0,0.018867924528301886,14,52,0.032933370617993236,0.21604938271604937,1.0,0.5,0.7547169811320754,0.7031169811320754,0.6348026010795123,0.7448912035041777
chatcmpl-950f17f3a8ea93d43a15f2e697004910,pyupio__safety-248,pyupio/safety,33792,39,39,submit,True,False,1,True,654,3093.74358974359,39,0.8974358974358975,1.0,0.05128205128205128,5,38,0.01808447155549662,0.3111111111111111,1.0,1.0,1.0,0.6906256410256411,0.6883605722805184,0.922429903381898
