trajectory_id,instance_id,repo,total_tokens,assistant_turns,total_tool_calls,exit_status,ends_with_submit,is_error_or_timeout,resolved,has_patch,patch_length,avg_observation_length,num_observations,unique_action_ratio,test_alignment_score,redundant_cmds_ratio,error_retry_count,total_action_pairs,obs_noise_char_ratio,obs_utilization_ratio,truncation_ratio,outcome_success,step_efficiency,observation_noise,action_diversity,composite_Q,passes_gate,b1_redundant_commands,b2_error_retry,b3_step_count_ratio,c1_observation_cleanliness,c2_action_diversity,c3_observation_utilization,efficiency_score,style_score,composite_score
chatcmpl-396d3671f4e22527b1723695673ffe8e,darosior__python-bip32-10,darosior/python-bip32,26937,28,28,submit,True,False,1,True,8564,2459.6428571428573,28,0.8928571428571429,1.0,0.0357142857142857,0,27,0.0,0.696969696969697,1.0,1.0,1.0,0.7540357142857143,0.7407262763058008,0.9371779847734372,True,0.9642857142857144,1.0,0.85,1.0,0.7407262763058008,0.696969696969697,0.925,0.7188479866377488,0.8219239933188744
chatcmpl-2b943ca5abe7c665a3fe7c475c790821,tylerwince__pydbg-4,tylerwince/pydbg,14272,27,27,submit,True,False,1,True,1024,1136.7407407407406,27,0.8518518518518519,1.0,0.037037037037037,0,26,0.0174964160041704,0.575,1.0,1.0,1.0,0.886325925925926,0.7470900470575167,0.9576578935946406,True,0.962962962962963,1.0,0.93,0.9825035839958296,0.7470900470575167,0.575,0.965,0.6610450235287584,0.8130225117643792
chatcmpl-0d27718de6b10bf65af685041f1d39cb,hhm970__c10-games-tracker-project-88,hhm970/c10-games-tracker-project,23992,34,34,submit,True,False,1,True,10603,1995.029411764706,34,0.9117647058823528,1.0,0.0588235294117647,1,33,0.0519673895416549,0.7619047619047619,1.0,1.0,1.0,0.8004970588235294,0.6835503955846179,0.9384295983819912,True,0.9411764705882352,0.9,0.8909090909090909,0.948032610458345,0.6835503955846179,0.7619047619047619,0.8954545454545455,0.7227275787446898,0.8090910620996177
chatcmpl-1802aef871209d43e75e8a23d9cf9b51,tylerwince__pydbg-4,tylerwince/pydbg,16323,34,34,submit,True,False,1,True,1995,967.1176470588236,34,0.8823529411764706,1.0,0.0588235294117647,0,33,0.0163311234109847,0.6444444444444445,1.0,1.0,1.0,0.9032882352941176,0.7152691260556626,0.9570201478996838,True,0.9411764705882352,1.0,0.86,0.9836688765890153,0.7152691260556626,0.6444444444444445,0.93,0.6798567852500536,0.8049283926250268
chatcmpl-cb7e416f8ce06552b5a5476f649e1485,magpylib__magpylib-706,magpylib/magpylib,28498,48,48,submit,True,False,1,True,13167,1466.25,48,0.8541666666666666,1.0,0.0625,0,47,0.0019892014776925,0.6444444444444445,1.0,1.0,0.8333333333333333,0.853375,0.6659247857842048,0.9112653952450872,True,0.9375,1.0,0.8903225806451613,0.9980107985223076,0.6659247857842048,0.6444444444444445,0.9451612903225808,0.6551846151143246,0.8001729527184527
chatcmpl-eeb5dc073e2d80bf3eca9a7181536ade,tylerwince__pydbg-4,tylerwince/pydbg,15013,32,32,submit,True,False,1,True,1666,1165.90625,32,0.875,1.0,0.09375,0,31,0.0191910799002921,0.5384615384615384,1.0,1.0,1.0,0.883409375,0.753524413893479,0.957863847639348,True,0.90625,1.0,0.88,0.980808920099708,0.753524413893479,0.5384615384615384,0.94,0.6459929761775087,0.7929964880887543
chatcmpl-263b98f632a26c515404238f09d2e05b,tylerwince__pydbg-4,tylerwince/pydbg,15159,30,30,submit,True,False,1,True,949,1188.7666666666669,30,0.8,1.0,0.1,0,29,0.0200768303283515,0.5,1.0,1.0,1.0,0.8811233333333334,0.7688218574771959,0.9590506857477196,True,0.9,1.0,0.9,0.9799231696716484,0.7688218574771959,0.5,0.95,0.634410928738598,0.792205464369299
chatcmpl-1bfdbeeca4d5fa4c4c9b3f3b2100ef8a,mrkwjc__einsumt-2,mrkwjc/einsumt,33774,36,36,submit,True,False,1,True,19791,3283.6111111111113,36,0.9166666666666666,1.0,0.0,1,35,0.0167752305219524,0.62,1.0,1.0,1.0,0.6716388888888889,0.7032004409814927,0.9210658774314826,True,1.0,0.9,0.9381818181818182,0.9832247694780476,0.7032004409814927,0.62,0.9190909090909092,0.6616002204907463,0.7903455647908277
chatcmpl-8cad6aaf546fd5c75ecdc3a1c52d8f3d,biolink__biolink-model-toolkit-172,biolink/biolink-model-toolkit,43819,54,54,submit,True,False,1,True,18284,3423.8703703703704,54,0.9444444444444444,1.0,0.0,0,53,0.0006436294208957,0.5862068965517241,1.0,1.0,0.7407407407407407,0.657612962962963,0.723238749324355,0.8691139675250281,True,1.0,1.0,0.8516129032258064,0.9993563705791042,0.723238749324355,0.5862068965517241,0.9258064516129032,0.6547228229380395,0.7902646372754714
chatcmpl-28c2924afe89503d576264bee0110a1c,sdepy__sdepy-13,sdepy/sdepy,30534,30,30,Timeout: litellm.Timeout: APITimeoutError - Request timed out. Error_str: Request timed out.,False,True,1,True,5125,2593.1666666666665,30,0.9666666666666668,1.0,0.0,0,29,0.0644900057844334,0.323943661971831,1.0,0.0,1.0,0.7406833333333334,0.8496117425007582,0.6960636742500759,True,1.0,1.0,0.9777777777777776,0.9355099942155666,0.8496117425007582,0.323943661971831,0.9888888888888888,0.5867777022362946,0.7878332955625917
chatcmpl-13eb1ab816b3501d38993be7ed0f72bb,awisu2__imagenatepy-3,awisu2/imagenatepy,14981,50,50,submit,True,False,1,True,1497,538.86,50,0.88,1.0,0.04,1,49,0.0459488549901644,0.6481481481481481,1.0,1.0,1.0,0.946114,0.7335030430386931,0.9652674043038694,True,0.96,0.9,0.8666666666666667,0.9540511450098356,0.7335030430386931,0.6481481481481481,0.8833333333333333,0.6908255955934206,0.787079464463377
chatcmpl-85f7d8483385be14b98494dd8309b620,nagisc007__storybuilder-54,nagisc007/storybuilder,30534,49,49,submit,True,False,1,True,4860,2648.7755102040815,49,0.8571428571428571,1.0,0.0204081632653061,0,48,0.0090607905077432,0.6024096385542169,1.0,1.0,1.0,0.7351224489795918,0.7441187269475572,0.9346802400416944,True,0.979591836734694,1.0,0.8,0.9909392094922568,0.7441187269475572,0.6024096385542169,0.9,0.6732641827508871,0.7866320913754435
chatcmpl-133522dc089e8770ac0069d57fb65286,hhm970__c10-games-tracker-project-161,hhm970/c10-games-tracker-project,28992,34,34,submit,True,False,1,True,13610,3381.264705882353,34,0.9705882352941176,1.0,0.0,1,33,0.0380470238250567,0.627906976744186,1.0,1.0,1.0,0.6618735294117647,0.7501784004719487,0.9242988694589596,True,1.0,0.9,0.8682926829268293,0.9619529761749432,0.7501784004719487,0.627906976744186,0.8841463414634146,0.6890426886080674,0.786594515035741
chatcmpl-59dcc0acbb0c8fabf6ff134bff401d51,ilevkivskyi__com2ann-21,ilevkivskyi/com2ann,32085,42,42,submit,True,False,1,True,1450,2983.5,42,0.9047619047619048,1.0,0.0714285714285714,0,41,0.0060331825037707,0.6136363636363636,1.0,1.0,0.9523809523809524,0.70165,0.7169670515575667,0.9174203956319472,True,0.9285714285714286,1.0,0.8,0.9939668174962292,0.7169670515575667,0.6136363636363636,0.9,0.6653017075969652,0.7826508537984826
chatcmpl-378039e15219390e1387a099a8624c8d,delfick__python-dict2xml-27,delfick/python-dict2xml,27546,36,36,submit,True,False,1,True,718,2017.0,36,0.9444444444444444,1.0,0.0277777777777777,0,35,0.0025477882443673,0.5686274509803921,1.0,1.0,1.0,0.7983,0.7007679318310256,0.9398217931831024,True,0.9722222222222222,1.0,0.8571428571428572,0.9974522117556328,0.7007679318310256,0.5686274509803921,0.9285714285714286,0.6346976914057089,0.7816345599885688
chatcmpl-9c5b077101ac5a90276d2ea82c2b88aa,disconnect3d__cint-10,disconnect3d/cint,25870,37,37,submit,True,False,1,True,10325,3400.6216216216217,37,0.8648648648648649,1.0,0.081081081081081,2,36,0.0031234353019718,0.5757575757575758,1.0,1.0,1.0,0.6599378378378378,0.8278781593652478,0.9317784916122004,True,0.9189189189189187,0.8,0.920754716981132,0.9968765646980282,0.8278781593652478,0.5757575757575758,0.8603773584905661,0.7018178675614117,0.7810976130259889
chatcmpl-80f3e1aaf7fa6618fa1cb9fddaa63e2d,ilevkivskyi__com2ann-21,ilevkivskyi/com2ann,27099,47,47,submit,True,False,1,True,1462,2418.7872340425533,47,0.9148936170212766,1.0,0.0,0,46,0.0070371119692478,0.6666666666666666,1.0,1.0,0.851063829787234,0.7581212765957447,0.7017513514713933,0.904106092593948,True,1.0,1.0,0.7523809523809524,0.9929628880307522,0.7017513514713933,0.6666666666666666,0.8761904761904762,0.68420900906903,0.7801997426297531
chatcmpl-c1d27006481b94df081f460445cf429d,r1chardj0n3s__parse-81,r1chardj0n3s/parse,33658,50,50,submit,True,False,1,True,8103,2704.9,50,0.9,1.0,0.06,0,49,0.008695330696144,0.6268656716417911,1.0,1.0,0.8,0.72951,0.6706960482661741,0.8864961048266174,True,0.94,1.0,0.8226415094339623,0.991304669303856,0.6706960482661741,0.6268656716417911,0.9113207547169812,0.6487808599539826,0.7800508073354819
chatcmpl-7dbc56cf88ac74e0fa76901e18c1910c,ilevkivskyi__com2ann-21,ilevkivskyi/com2ann,35639,45,45,submit,True,False,1,True,16725,3271.2444444444445,45,0.9111111111111112,1.0,0.0444444444444444,0,44,0.0078189747700501,0.6666666666666666,1.0,1.0,0.888888888888889,0.6728755555555556,0.6731925758563064,0.8960283686967419,True,0.9555555555555556,1.0,0.7714285714285715,0.99218102522995,0.6731925758563064,0.6666666666666666,0.8857142857142857,0.6699296212614865,0.7778219534878861
chatcmpl-2924342c7bf4576d1e0ba48d2ad3ebf1,stephenhillier__starlette_exporter-89,stephenhillier/starlette_exporter,42351,57,57,submit,True,False,1,True,43798,2637.6491228070176,57,0.912280701754386,1.0,0.0175438596491228,1,56,0.0035518071648065,0.6964285714285714,1.0,1.0,0.7017543859649122,0.7362350877192982,0.7142079525117889,0.8722069356020561,True,0.9824561403508772,0.9,0.8,0.9964481928351936,0.7142079525117889,0.6964285714285714,0.8500000000000001,0.7053182619701801,0.7776591309850901
chatcmpl-d3807016d1ccc8ffacc2065b62453874,ilevkivskyi__com2ann-21,ilevkivskyi/com2ann,30536,40,40,submit,True,False,1,True,1331,4100.35,40,0.9,1.0,0.05,0,39,0.0070176936115209,0.5652173913043478,1.0,1.0,1.0,0.589965,0.7240593154580892,0.9109006815458088,True,0.95,1.0,0.819047619047619,0.9929823063884792,0.7240593154580892,0.5652173913043478,0.9095238095238096,0.6446383533812186,0.777081081452514
chatcmpl-818bff97abfff7df31643c9a7b4734eb,fitnr__visvalingamwyatt-6,fitnr/visvalingamwyatt,33841,31,31,submit,True,False,1,True,1102,2988.3548387096776,31,0.9032258064516128,1.0,0.032258064516129,0,30,0.008301039518993,0.4347826086956521,1.0,1.0,1.0,0.7011645161290323,0.7944768823311742,0.9346223656524724,True,0.967741935483871,1.0,0.8779220779220779,0.9916989604810068,0.7944768823311742,0.4347826086956521,0.938961038961039,0.6146297455134132,0.7767953922372262
chatcmpl-0ede22fb21daf0a43529d1b165416e5b,biolink__biolink-model-toolkit-172,biolink/biolink-model-toolkit,44337,59,59,submit,True,False,1,True,26300,3753.2203389830506,59,0.8983050847457628,1.0,0.0169491525423728,0,58,0.0280256502890173,0.6153846153846154,1.0,1.0,0.6779661016949152,0.624677966101695,0.6723148477471068,0.846526400028948,True,0.9830508474576272,1.0,0.8193548387096774,0.9719743497109826,0.6723148477471068,0.6153846153846154,0.9096774193548388,0.6438497315658611,0.7767635754603499
chatcmpl-8fa2985f1472a63564dd2f78b7070898,hhm970__c10-games-tracker-project-88,hhm970/c10-games-tracker-project,29366,35,35,submit,True,False,1,True,9505,2853.6857142857143,35,0.8571428571428571,1.0,0.0,1,34,0.093292884390112,0.6,1.0,1.0,1.0,0.7146314285714286,0.718252976973612,0.9290200119830756,True,1.0,0.9,0.8818181818181818,0.906707115609888,0.718252976973612,0.6,0.8909090909090909,0.659126488486806,0.7750177896979484
chatcmpl-c9e598379b6ce3758725123e1cbfa2ad,darosior__python-bip32-10,darosior/python-bip32,27269,26,26,submit,True,False,1,True,8861,2663.423076923077,26,0.8846153846153846,1.0,0.0769230769230769,1,25,0.0015162673829224,0.5714285714285714,1.0,1.0,1.0,0.7336576923076923,0.7526564395770048,0.9353142978038544,True,0.9230769230769232,0.9,0.875,0.9984837326170776,0.7526564395770048,0.5714285714285714,0.8875,0.6620425055027881,0.774771252751394
chatcmpl-97a7e8084346e8a8b00f393a26c085cf,biolink__biolink-model-toolkit-172,biolink/biolink-model-toolkit,46725,67,67,submit,True,False,1,True,25215,3146.3880597014927,67,0.9850746268656716,1.0,0.0,0,66,0.0005644947060832,0.6567164179104478,1.0,1.0,0.5970149253731343,0.6853611940298507,0.6723824107244709,0.8394454052515516,True,1.0,1.0,0.767741935483871,0.9994355052939168,0.6723824107244709,0.6567164179104478,0.8838709677419355,0.6645494143174593,0.7742101910296975
chatcmpl-c40481f01fd0037acfe130959e54d801,nagisc007__storybuilder-54,nagisc007/storybuilder,28028,41,41,submit,True,False,1,True,4506,1557.8536585365853,41,0.902439024390244,0.0,0.0,1,40,0.0217935871743487,0.5882352941176471,1.0,1.0,0.975609756097561,0.8442146341463415,0.7416781387421914,0.9459219602156824,True,1.0,0.9,0.8653061224489795,0.9782064128256514,0.7416781387421914,0.5882352941176471,0.8826530612244898,0.6649567164299193,0.7738048888272046
chatcmpl-7dbb733b75247f6729a3637c38a97113,tylerwince__pydbg-4,tylerwince/pydbg,17869,38,38,submit,True,False,1,True,1407,1153.3947368421052,38,0.8421052631578947,1.0,0.0263157894736842,0,37,0.0163362157475643,0.6333333333333333,1.0,1.0,1.0,0.8846605263157895,0.6392002723470329,0.9466191061820716,True,0.9736842105263158,1.0,0.8200000000000001,0.9836637842524356,0.6392002723470329,0.6333333333333333,0.91,0.6362668028401831,0.7731334014200916
chatcmpl-2a8a03f4e3f43cde1afe1063104022c7,johnsyweb__python_sparse_list-17,johnsyweb/python_sparse_list,24172,42,42,submit,True,False,1,True,6277,3043.214285714286,42,0.8333333333333334,1.0,0.1428571428571428,0,41,0.0161248679732425,0.6041666666666666,1.0,1.0,1.0,0.6956785714285714,0.7840797783111566,0.9327597635454014,True,0.8571428571428572,1.0,0.6985074626865672,0.9838751320267576,0.7840797783111566,0.6041666666666666,0.8492537313432835,0.6941232224889116,0.7716884769160975
chatcmpl-e5edbfbc54fbac2a2839b65775c540b7,hhm970__c10-games-tracker-project-161,hhm970/c10-games-tracker-project,27557,44,44,submit,True,False,1,True,10761,1942.7272727272727,44,0.9318181818181818,1.0,0.0227272727272727,1,43,7.019185774450164e-05,0.625,1.0,1.0,1.0,0.8057272727272727,0.7892769179978583,0.9497867827088768,True,0.9772727272727272,0.9,0.7707317073170732,0.9999298081422556,0.7892769179978583,0.625,0.8353658536585367,0.7071384589989291,0.7712521563287329
chatcmpl-99656f01b8eb1e0963374270e0c45a18,biolink__biolink-model-toolkit-172,biolink/biolink-model-toolkit,41569,61,61,submit,True,False,1,True,1630,2750.1639344262294,61,0.9016393442622952,1.0,0.0655737704918032,0,60,0.0375894134477825,0.6142857142857143,1.0,1.0,0.6557377049180328,0.724983606557377,0.6633088962688892,0.8562259715941021,True,0.9344262295081968,1.0,0.8064516129032258,0.9624105865522176,0.6633088962688892,0.6142857142857143,0.9032258064516128,0.6387973052773017,0.7710115558644572
chatcmpl-bdf3df41939e91e61fc4ad2225b887f4,espdev__csaps-3,espdev/csaps,36816,38,38,submit,True,False,1,True,419,4151.421052631579,38,0.8947368421052632,1.0,0.0526315789473684,0,37,0.0106304752969813,0.5263157894736842,1.0,1.0,1.0,0.5848578947368421,0.7283207410412748,0.9105607583146538,True,0.9473684210526316,1.0,0.8292682926829268,0.9893695247030186,0.7283207410412748,0.5263157894736842,0.9146341463414632,0.6273182652574795,0.7709762057994713
chatcmpl-5a81c756d71b8ae72fdb0f2d83596059,networkx__networkx-5354,networkx/networkx,42440,50,50,submit,True,False,1,True,33339,2216.16,50,0.84,1.0,0.04,0,49,0.0135369287416071,0.625,1.0,1.0,0.8,0.778384,0.6574271093871388,0.892500310938714,True,0.96,1.0,0.8,0.9864630712583928,0.6574271093871388,0.625,0.9,0.6412135546935693,0.7706067773467846
chatcmpl-83d68aec620d82add49c2be60d7b4178,tylerwince__pydbg-4,tylerwince/pydbg,14790,34,34,submit,True,False,1,True,949,941.7058823529412,34,0.8823529411764706,1.0,0.0294117647058823,1,33,0.0169592104441251,0.6136363636363636,1.0,1.0,1.0,0.905829411764706,0.7085867557713134,0.9567330873418372,True,0.9705882352941176,0.9,0.86,0.9830407895558748,0.7085867557713134,0.6136363636363636,0.88,0.6611115597038385,0.7705557798519193
chatcmpl-893e001e0699df3108b04afa6b11047d,reata__sqllineage-41,reata/sqllineage,18446,33,33,submit,True,False,1,True,838,3631.4242424242425,33,0.9393939393939394,1.0,0.0303030303030303,1,32,0.0033629012742308,0.4313725490196078,1.0,1.0,1.0,0.6368575757575757,0.7546028877838069,0.9209889251420172,True,0.9696969696969696,0.9,0.99375,0.9966370987257692,0.7546028877838069,0.4313725490196078,0.946875,0.5929877184017074,0.7699313592008536
