subset_name,description,purpose,selection_criteria,expected_size,actual_size,mean_Q,median_Q,std_Q,min_Q,max_Q,mean_tokens,median_tokens,mean_turns,submit_rate,resolved_rate,unique_repos,mean_efficiency_score,mean_style_score,mean_b2_error_retry,mean_b3_step_count_ratio,mean_c2_action_diversity,mean_c3_observation_utilization,mean_ablation_score,median_ablation_score
Random-500,"500 random trajectories from all 67,074 (no filtering)",Baseline,Random sample (all trajectories),500,500,0.7889875257228939,0.7960542676088574,0.10193186105322571,0.532036003443245,0.9523588217995598,46780.454,44455.5,63.964,0.916,0.496,331,,,,,,,,
Random-1000,"1000 random trajectories from all 67,074 (no filtering)",Scale baseline,Random sample (all trajectories),1000,1000,0.7822237999271031,0.7856677953983859,0.10480124458541658,0.5287698946265955,0.9527288776407661,48190.793,45776.0,64.478,0.897,0.47,560,,,,,,,,
TopQ-500,"Top 500 by composite_score from resolved pool (32,161)",Quality filter validation,Top composite_score (resolved pool),500,500,0.7323953643170775,0.7270335663257752,0.021163440974299542,0.7076443287527974,0.8219239933188744,32143.246,29804.5,44.334,0.982,1.0,177,0.8662009132648705,0.5985898153692846,0.8992,0.833201826529741,0.7041883892408862,0.492991241497683,,
TopQ-1000,"Top 1000 by composite_score from resolved pool (32,161)",Scale quality filter,Top composite_score (resolved pool),1000,1000,0.7136340755335197,0.7075979901721026,0.024436166803061758,0.6847940176314734,0.8219239933188744,32547.644,30492.0,45.163,0.984,1.0,312,0.8481596000255603,0.579108551041479,0.8676000000000001,0.8287192000511207,0.6978523584244958,0.460364743658462,,
ResolvedOnly-500,"500 random from resolved pool (32,161 gate-passing)",Resolved-only filter baseline,Random sample (resolved pool only),500,500,0.5214230226971293,0.5161562289490431,0.0800931989344118,0.350360332864608,0.7520261230385501,42430.35,39619.5,58.588,0.966,1.0,335,0.5520039490163522,0.49084209637790627,0.30939999999999995,0.7946078980327044,0.6573581625184267,0.324326030237386,,
ResolvedOnly-1000,"1000 random from resolved pool (32,161 gate-passing)",Resolved-only filter baseline,Random sample (resolved pool only),1000,1000,0.5194971916264234,0.5138275266747261,0.08029199102345594,0.3302289570511839,0.7520261230385501,42702.234,40036.0,58.416,0.963,1.0,526,0.5521063019560104,0.4868880812968365,0.30879999999999996,0.7954126039120211,0.6580521866510513,0.3157239759426217,,
BottomQ-500,Bottom 500 by composite_score (sanity check),Sanity check (worst quality),Bottom composite_score (resolved pool),500,500,0.3689770088979869,0.37211775568260425,0.012039730306268972,0.3173437692248486,0.3827414578863812,58119.426,57003.5,77.49,0.944,1.0,171,0.3448023159109905,0.3931517018849833,0.0045999999999999965,0.685004631821981,0.6047318482785785,0.181571555491388,,
Ablation-NoEfficiency-500,Top 500 by Style score only (no Efficiency component),Ablation study,Top 500 by Style score only (no Efficiency component),500,500,0.6165001072205905,0.6071542241832221,0.08997721295554005,0.455569445211077,0.8219239933188744,40618.32,36659.0,63.098,0.84,1.0,165,0.5635097475195172,0.6694904669216637,0.3512,0.7758194950390346,0.6989860819461939,0.6399948518971336,0.6694904669216637,0.6632304038493008
Ablation-NoStyle-500,Top 500 by Efficiency score only (no Style component),Ablation study,Top 500 by Efficiency score only (no Style component),500,500,0.7104172198223341,0.7076531237850723,0.03621657667075351,0.6278680814199706,0.8219239933188744,32699.464,30908.5,42.128,0.99,1.0,233,0.8976662201702846,0.5231682194743836,0.9424000000000001,0.8529324403405693,0.6926175139816161,0.3537189249671511,0.8976662201702846,0.8942018158832318
Ablation-NoB2-500,Top 500 with Efficiency = B3 alone (drop B2 error_retry),Ablation study,Top 500 with Efficiency = B3 alone (drop B2 error_retry),500,500,0.6410026893922229,0.6473759251232001,0.08353319425360713,0.4907122537193954,0.8219239933188744,34722.334,32184.0,49.124,0.926,1.0,223,0.6543736356491475,0.6276317431352981,0.43339999999999995,0.8753472712982951,0.702433654653277,0.5528298316173194,0.7514895072167967,0.747255574889711
